,Product Name,Prices,Description,Reviews
0,French Connection,"₹1,230",Analog Watch  - For Women FCN01C,4.5
1,ReniSales,₹208,Analog Watch  - For Women Diamond Prism Glass Two Love ...,5
2,TIMEX,"₹1,027",Analog Watch  - For Women TWTL87SMU06,5
3,Titan,"₹1,361",Karishma Analog Watch  - For Women NP2593SM03,4.1
4,CASIO,"₹1,077",Enticer Lady's ( LTP-V005D-2B2UDF ) Analog Watch  - For...,5
5,VAN HEUSEN,₹885,Analog Watch  - For Women VH000001D,4
6,French Connection,"₹1,237",Analog Watch  - For Women FCN03D,4.1
7,French Connection,"₹1,737",Analog Watch  - For Women FCW03GM,5
8,Titan,"₹1,248",Karishma Analog Watch  - For Women NP2598SM04,1
9,TIMEX,"₹1,043",Analog Watch  - For Women TWHL41SMU07,4.5
10,CASADO,₹279,Classy White Dial With Premium Diamond Studded Stainles...,5
11,Blue Pearl,₹200,Analog Watch  - For Women MW69-Black Dial,4
12,Fastrack,"₹1,104",Analog Watch  - For Women 6262SM02,4.3
13,SONATA,₹625,SF- Economic Girls Analog Watch  - For Women NP8989PP04,5
14,SONATA,"₹1,127",Poze Dial Gold Strap Analog Watch  - For Women SP80048Y...,5
15,Fastrack,"₹1,650",Vyb Showstopper Blue Dial Rose Gold Strap Analog Watch ...,4.6
16,WHITE STONE,₹349,Special Ladies Watch & Girls Watch & Women Watch Analog...,5
17,WHITE STONE,₹349,Special Ladies Watch & Girls Watch & Women Watch Analog...,5
18,TIMEX,"₹2,196",Rose Gold Dial Analog Watch  - For Women TWEL13105,4.4
19,Fastrack,"₹1,694",Vyb Minimalist Black Dial Rose Gold Strap Analog Watch ...,5
20,CASADO,₹523,Pack of 3 Superior Pink & Silver & Purple Dial for Upto...,5
21,Highend,₹239,Designer Diamond Studded Black Dial Chain Analog Watch ...,4
22,TIMEX,"₹1,258",Analog Watch  - For Women TWEL107SMU04,5
23,Fastrack,₹987,FK Exclusive Analog Watch  - For Women 6284SL02,5
24,Rizzly,₹282,Analog Watch  - For Women 142-Black Flower Designed For...,4.2
25,SONATA,₹649,Sonata Style Analog Watch  - For Women 87056SM02W,5
26,Blue Pearl,₹377,Analog Watch  - For Women Combo Pack Of Two Black and S...,1
